# Mar Thoma Syrian Church — every parish and congregation, under its diocese.
#
# The zone column is deliberately empty. The published list has no tier
# between the diocese and the parish, and inventing one would put names in
# your console that no one in the church would recognise. Add zones later
# from Manage → Churches if your diocese actually uses them; a parish with no
# zone is a normal, supported thing here.
#
# The city is derived from the postal address, not published as its own
# field: the post-office locality for Indian parishes, the town for parishes
# abroad. 1062 of 1114 rows resolved to something; the rest are blank rather
# than guessed. A post office is not always the place the parish is named
# after, so treat the column as a starting point and correct what you notice.
# Source: the Mar Thoma parish list published at marthoma.in, as collected in
#   https://docs.google.com/spreadsheets/d/1QVPcgFuO638L673NJ5fqtwqwq_obO4lF/edit
# Converted 2026-08-29. 1114 parishes in 14 dioceses.
#
diocese,zone,church,city
ADOOR DIOCESE,,PANDALAM MAR THOMA CHURCH,Mudiyoorkonam
ADOOR DIOCESE,,PARAKODE IMMANUEL MAR THOMA CHURCH,Parakode
ADOOR DIOCESE,,PATHANAPURAM IMMANUEL MAR THOMA CHURCH,Pathanapuram
ADOOR DIOCESE,,PATHARAM ST THOMAS MAR THOMA CHURCH,Patharam
ADOOR DIOCESE,,PATTAZHY MOTTACKAL MORIA MAR THOMA CHURCH,Pathanamthitta
ADOOR DIOCESE,,PATTOOR IMMANUEL MAR THOMA CHURCH,Pattoor
ADOOR DIOCESE,,PIDAVOOR BETHEL MAR THOMA CHURCH,Pidavoor
ADOOR DIOCESE,,PIDAVOOR EBENEZER MAR THOMA CHURCH,Avaneeswaram
ADOOR DIOCESE,,PIRAVANTHOOR ST THOMAS MAR THOMA CHURCH,Vettithitta
ADOOR DIOCESE,,POONKULANJI ST PAULS MAR THOMA CHURCH,Poonkulanji
ADOOR DIOCESE,,PORUVAZHY  BETHEL MAR THOMA CHURCH,Sooranad
ADOOR DIOCESE,,PUTHUSSERYBHAGOM BETHEL  MAR THOMA CHURCH,Vayala
ADOOR DIOCESE,,PUTHUVAL ST THOMAS MAR THOMA CHURCH,Pathanapuram
ADOOR DIOCESE,,RAJAGIRI MAR THOMA CHURCH,Rajagiri
ADOOR DIOCESE,,RAS AL KHAIMA ST THOMAS MAR THOMA CHURCH,Ras Al Khaima
ADOOR DIOCESE,,SOORANADU IMMANUEL MAR THOMA CHURCH,Sooranad
ADOOR DIOCESE,,THAMARAKULAM ST THOMAS MAR THOMA CHURCH,Vedaraplavu
ADOOR DIOCESE,,THANNIKUNNU SEHION MAR THOMA CHURCH,Chunakara
ADOOR DIOCESE,,THARAYILKADAVU SALEM MAR THOMA CHURCH,Kollaka
ADOOR DIOCESE,,THAZHAVA MAR THOMA CHURCH,Thazhava
ADOOR DIOCESE,,THEPPUPARA ST THOMAS MAR THOMA CHURCH,Theppupara
ADOOR DIOCESE,,THEVALAKARA HEBRON MAR THOMA CHURCH,Padinjattakara
ADOOR DIOCESE,,THEVALAKARA IMMANUEL MAR THOMA CHURCH,Arinallur
ADOOR DIOCESE,,THEVALAKARA MAR THOMA VALIYAPALLY,Thevalakara
ADOOR DIOCESE,,THUMPAMON JERUSALEM MAR THOMA CHURCH,Keerukuzhy
ADOOR DIOCESE,,THUMPAMON MUTTOM SALEM MAR THOMA CHURCH,Muttom
ADOOR DIOCESE,,THURUTHIKARA IMMANUEL MAR THOMA CHURCH,Thuruthikara
ADOOR DIOCESE,,THURUTHIKARA JERUSALEM MAR THOMA CHURCH,Kunnathur East
ADOOR DIOCESE,,THUVAYOOR EBENEZER MAR THOMA CHURCH,Kadambanad
ADOOR DIOCESE,,THUVAYOOR ST ANDREWS MAR THOMA CHURCH,Thuvayoor South
ADOOR DIOCESE,,THUVAYOOR ST PETERS MAR THOMA CHURCH,Thuvayoor South
ADOOR DIOCESE,,VATHIKULAM BETHEL MAR THOMA CHURCH,Thekkekara
ADOOR DIOCESE,,VATHIKULAM ST PAULS MAR THOMA CHURCH,Olakettiambalam
ADOOR DIOCESE,,VAYALA SALEM MAR THOMA CHURCH,Valaya
ADOOR DIOCESE,,VETTIYAR SALEM MAR THOMA CHURCH,Mankamkuzhy
ADOOR DIOCESE,,VETTIYAR ST THOMAS MAR THOMA CHURCH,Mankamkuzhy
ADOOR DIOCESE,,WEST KALLADA IMMANUEL MAR THOMA CHURCH,Peruvelikara
ADOOR DIOCESE,,WEST KALLADA MAR THOMA CHURCH,Peruvelikara
CHENGANNUR - MAVELIKKARA DIOCESE,,AKAMKUDY BETHEL MAR THOMA CHURCH,Akamkudy
CHENGANNUR - MAVELIKKARA DIOCESE,,ARANMULA ST THOMAS MAR THOMA CHURCH,Aranmula
CHENGANNUR - MAVELIKKARA DIOCESE,,ARATTUPUZHA BETHLEHEM MAR THOMA CHURCH,Arattupuzha (Pta
CHENGANNUR - MAVELIKKARA DIOCESE,,AYATHIL JERUSALEM MAR THOMA CHURCH,Muttathukonam
CHENGANNUR - MAVELIKKARA DIOCESE,,BUDHANOOR ST PAULS MAR THOMA CHURCH,Budhanoor
CHENGANNUR - MAVELIKKARA DIOCESE,,CHANGAMALA ST PETERS MAR THOMA CHURCH,Venmoney
CHENGANNUR - MAVELIKKARA DIOCESE,,CHEEKKANAL ST THOMAS MAR THOMA CHURCH,Omalloor
CHENGANNUR - MAVELIKKARA DIOCESE,,CHENGANNUR MAR THOMA VALIYAPALLY,Mundancavu
CHENGANNUR - MAVELIKKARA DIOCESE,,CHENNEERKARA EBENEZER MAR THOMA CHURCH,Chenneerkara
CHENGANNUR - MAVELIKKARA DIOCESE,,CHENNITHALA SOUTH SALEM MAR THOMA CHURCH,Mavelikkara
CHENGANNUR - MAVELIKKARA DIOCESE,,CHENNITHALA ST PETERS MAR THOMA CHURCH,Chennithala
CHENGANNUR - MAVELIKKARA DIOCESE,,CHEPPAD MAR THOMA CHURCH,Cheppad
CHENGANNUR - MAVELIKKARA DIOCESE,,CHERIYANAD IMMANUEL MAR THOMA CHURCH,Cheriyanad
CHENGANNUR - MAVELIKKARA DIOCESE,,CHERUKOLE MAR THOMA CHURCH,Cherukole
CHENGANNUR - MAVELIKKARA DIOCESE,,CHERUVALLUR ST GEORGE SALEM MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,,EDANAD SALEM MAR THOMA CHURCH,Edanad
CHENGANNUR - MAVELIKKARA DIOCESE,,EDAYARANMULA LAKA ST THOM MAR THOMA CHURCH,Edayarnmula
CHENGANNUR - MAVELIKKARA DIOCESE,,ELANTHUR MAR THOMA VALIYAPALLY,Elanthoor Elanthur
CHENGANNUR - MAVELIKKARA DIOCESE,,ELANTHUR PARIYARAM MAR THOMA PAZHAYAPALLY,Elanthoor Pariyaram Elanthoor
CHENGANNUR - MAVELIKKARA DIOCESE,,ELANTHUR ST THOMAS MAR THOMA CHURCH,Elanthoor P.O. Kozhenchery Pathanamthitta
CHENGANNUR - MAVELIKKARA DIOCESE,,ELAVUMTHITTA BETHLEHEM MAR THOMA CHURCH,Elavumthitta
CHENGANNUR - MAVELIKKARA DIOCESE,,ERAMATHOOR BETHEL MAR THOMA CHURCH,Eramathoor Mannar
CHENGANNUR - MAVELIKKARA DIOCESE,,GHALA ST. PAULS MAR THOMA CHURCH,Muscat
CHENGANNUR - MAVELIKKARA DIOCESE,,GRAMAM BETHEL MAR THOMA CHURCH,Ennakkadu
CHENGANNUR - MAVELIKKARA DIOCESE,,HARIPAD ST THOMAS MAR THOMA CHURCH,Haripad
CHENGANNUR - MAVELIKKARA DIOCESE,,KADAIKAD BETHEL MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,,KAIPUZHA EBENEZER MAR THOMA CHURCH,Panangadu
CHENGANNUR - MAVELIKKARA DIOCESE,,KAIPUZHA ST JOHNS MAR THOMA CHURCH,Kulanada
CHENGANNUR - MAVELIKKARA DIOCESE,,KALLIMEL ST THOMAS MAR THOMA CHURCH,Kallimel
CHENGANNUR - MAVELIKKARA DIOCESE,,KANNAMANGALAM ST ANDREWS MAR THOMA CHURCH,Chettikulangara
CHENGANNUR - MAVELIKKARA DIOCESE,,KANNAMANGALAM ST PAULS MAR THOMA CHURCH,Chettikulangara
CHENGANNUR - MAVELIKKARA DIOCESE,,KARACKAD REVIVAL CENTENARY MAR THOMA CHURCH,Karakkad
CHENGANNUR - MAVELIKKARA DIOCESE,,KARAMVELI JERUSALEM MAR THOMA CHURCH,Nellikkala
CHENGANNUR - MAVELIKKARA DIOCESE,,KARIPUZHA SALEM MAR THOMA CHURCH,Karipuzha
CHENGANNUR - MAVELIKKARA DIOCESE,,KARTHIKAPALLY MAR THOMA CHURCH,Karthkappally
CHENGANNUR - MAVELIKKARA DIOCESE,,KARUVATTA MAR THOMA CHURCH,Karuvatta
CHENGANNUR - MAVELIKKARA DIOCESE,,KARUVATTA SALEM MAR THOMA CHURCH,Karuvatta
CHENGANNUR - MAVELIKKARA DIOCESE,,KIDANGANNOOR ST THOM MAR THOMA CHURCH,Kidangannur
CHENGANNUR - MAVELIKKARA DIOCESE,,KIZHAKKEN OTHARA ST THOMAS MAR THOMA CHURCH,Pathanamthitta
CHENGANNUR - MAVELIKKARA DIOCESE,,KOTTA MORIA MAR THOMA CHURCH,Kotta
CHENGANNUR - MAVELIKKARA DIOCESE,,KURICHIMUTTOM ST JOHNS MAR THOMA CHURCH,Kuruchimuttom
CHENGANNUR - MAVELIKKARA DIOCESE,,KUZHIKALA MAR THOMA CHURCH,Kuzhikala
CHENGANNUR - MAVELIKKARA DIOCESE,,MANGALAM ST THOMAS MAR THOMA CHURCH,Vazharmangalam
CHENGANNUR - MAVELIKKARA DIOCESE,,MAR THOMA CHURCH IN OMAN,Muscat
CHENGANNUR - MAVELIKKARA DIOCESE,,MAVELIKKARA MAR THOMA CHURCH,Thazhakara
CHENGANNUR - MAVELIKKARA DIOCESE,,MEZHUVELI SALEM MAR THOMA CHURCH,Karithotta
CHENGANNUR - MAVELIKKARA DIOCESE,,MULAKUZHA ST THOMAS MAR THOMA CHURCH,Mulakhuzha
CHENGANNUR - MAVELIKKARA DIOCESE,,MUTHUKULAM ST THOMAS MAR THOMA CHURCH,Muthukulam Muthukulam South
CHENGANNUR - MAVELIKKARA DIOCESE,,MUTTOM MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,,NAKKADA ST THOMAS MAR THOMA CHURCH,Pandanad North
CHENGANNUR - MAVELIKKARA DIOCESE,,NELLIKALA MAR THOMA CHURCH,Naranganam West
CHENGANNUR - MAVELIKKARA DIOCESE,,NIKARUPURAM HERMON MAR THOMA CHURCH,Piralassery
CHENGANNUR - MAVELIKKARA DIOCESE,,OTHARA EBENEZER MAR THOMA CHURCH,Othera East
CHENGANNUR - MAVELIKKARA DIOCESE,,OTHARA ST ANDREWS MAR THOMA CHURCH,Othara West
CHENGANNUR - MAVELIKKARA DIOCESE,,OTHARA ST PAULS MAR THOMA CHURCH,Othera West
CHENGANNUR - MAVELIKKARA DIOCESE,,PALLIKKALA ST THOMAS MAR THOMA CHURCH,Thumpamon (N
CHENGANNUR - MAVELIKKARA DIOCESE,,PALLIPADU MAR THOMA CHERIYAPALLY,Pallippad
CHENGANNUR - MAVELIKKARA DIOCESE,,PALLIPADU ST THOMAS MAR THOMA CHURCH,Pallipad
CHENGANNUR - MAVELIKKARA DIOCESE,,PANDANAD IMMANUEL MAR THOMA CHURCH,Pandanad West
CHENGANNUR - MAVELIKKARA DIOCESE,,PANDANAD MAR THOMA VALIYAPALLY,Pandanad North
CHENGANNUR - MAVELIKKARA DIOCESE,,PANDANAD MATHIAS MAR THOMA CHURCH,
CHENGANNUR - MAVELIKKARA DIOCESE,,PANDANAD ST THOMAS MAR THOMA CHURCH,Pandanadu West
CHENGANNUR - MAVELIKKARA DIOCESE,,PARIMANAM MAR THOMA CHURCH,Muttam
CHENGANNUR - MAVELIKKARA DIOCESE,,PAYIPPADU IMMANUEL MAR THOMA CHURCH,Paipadu
CHENGANNUR - MAVELIKKARA DIOCESE,,PENNUKKARA IMMANUEL MAR THOMA CHURCH,Poomala
CHENGANNUR - MAVELIKKARA DIOCESE,,PENNUKKARA ST THOMAS MAR THOMA CHURCH,Pennukkara
CHENGANNUR - MAVELIKKARA DIOCESE,,PERINGELIPURAM MAR THOMA CHURCH,Peringelipuram
CHENGANNUR - MAVELIKKARA DIOCESE,,PERISSERY ST PETERS MAR THOMA CHURCH,Mundancavu
CHENGANNUR - MAVELIKKARA DIOCESE,,PRAYAR JERUSALEM MAR THOMA CHURCH,Pandanadu (N
CHENGANNUR - MAVELIKKARA DIOCESE,,PRAYAR SEHION MAR THOMA CHURCH,Kallisseri
CHENGANNUR - MAVELIKKARA DIOCESE,,PULIYOOR ST THOMAS MAR THOMA CHURCH,Puliyoor
CHENGANNUR - MAVELIKKARA DIOCESE,,PULLAMALA THABORE MAR THOMA CHURCH,Muttathukonam
CHENGANNUR - MAVELIKKARA DIOCESE,,PUNNACKAD EMMANUEL MAR THOMA CHURCH,Punnakkad
CHENGANNUR - MAVELIKKARA DIOCESE,,PUNNAMOODU EBENEZER MAR THOMA CHURCH,Mavelikara
CHENGANNUR - MAVELIKKARA DIOCESE,,PUNTHALA MAR THOMA CHURCH,Punthala
CHENGANNUR - MAVELIKKARA DIOCESE,,PUTHENCAVU MATHILAKAM AROHANAM MAR THOMA CHURCH,Puthencavu
CHENGANNUR - MAVELIKKARA DIOCESE,,RAMAPURAM IMMANUEL MAR THOMA CHURCH,Keerikad
CHENGANNUR - MAVELIKKARA DIOCESE,,SALALAH MAR THOMA CHURCH,Pob
CHENGANNUR - MAVELIKKARA DIOCESE,,SOHAR ST THOMAS MAR THOMA CHURCH,
CHENGANNUR - MAVELIKKARA DIOCESE,,THAIMARAVUMKARA SALEM MAR THOMA CHURCH,West Othera
CHENGANNUR - MAVELIKKARA DIOCESE,,THITTAMEL TRINITY MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,,THUMPAMON BETHEL MAR THOMA CHURCH,Chennerkara
CHENGANNUR - MAVELIKKARA DIOCESE,,THUMPAMON CHRIST MAR THOMA CHURCH,Thumpamon North
CHENGANNUR - MAVELIKKARA DIOCESE,,THUMPAMON IMMANUEL MAR THOMA CHURCH,Thumpamon (N) P O.
CHENGANNUR - MAVELIKKARA DIOCESE,,THUMPAMON SEHION MAR THOMA CHURCH,Elavumthitta
CHENGANNUR - MAVELIKKARA DIOCESE,,ULANAD BETHEL MAR THOMA CHURCH,Ulanadu
CHENGANNUR - MAVELIKKARA DIOCESE,,UMAYATTUKARA MAR THOMA CHURCH,Kallisseri
CHENGANNUR - MAVELIKKARA DIOCESE,,VALIYAVATTOM ST PAULS MAR THOMA CHURCH,Elanthur
CHENGANNUR - MAVELIKKARA DIOCESE,,VARAMPOOR VENMONEY ST THOMAS MAR THOMA CHURCH,Varampur
CHENGANNUR - MAVELIKKARA DIOCESE,,VELLAPPARA ST STEPHENS MAR THOMA CHURCH,Nellikala
CHENGANNUR - MAVELIKKARA DIOCESE,,VENMONEY BETHANY MAR THOMA CHURCH,Venmoney
CHENGANNUR - MAVELIKKARA DIOCESE,,VENMONEY SALEM MAR THOMA CHURCH,Venmony Kozhuvalloor
CHENGANNUR - MAVELIKKARA DIOCESE,,VENMONEY SEHION MAR THOMA CHURCH,Venmoney
CHENNAI - BANGALORE DIOCESE,,ADAYAR ST PAULS MAR THOMA CHURCH,Velacheri
CHENNAI - BANGALORE DIOCESE,,AMBLIKAI ST LUKES MAR THOMA CHURCH,Dindigul
CHENNAI - BANGALORE DIOCESE,,ANKOLA ST PAULS MAR THOMA CHURCH,Ankola
CHENNAI - BANGALORE DIOCESE,,ANNA NAGAR JERUSALEM MAR THOMA CHURCH,Annanagar
CHENNAI - BANGALORE DIOCESE,,ARISANAMKERI IMMANUEL MAR THOMA CHURCH,Indoor
CHENNAI - BANGALORE DIOCESE,,AVADI ST ANDREWS MAR THOMA CHURCH,Chennai
CHENNAI - BANGALORE DIOCESE,,BACHIPPALLI ST LUKE MAR THOMA CHURCH,Palakonda
CHENNAI - BANGALORE DIOCESE,,BAINAPALLY  MYDUKUR ST MATHEWS MAR THOMA CHURCH,Chintakunta
CHENNAI - BANGALORE DIOCESE,,BANGALORE CITY [PRIMROSE RD] MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,,BANGALORE EAST MAR THOMA CHURCH,Maruthi Sevanagar
CHENNAI - BANGALORE DIOCESE,,BANGALORE ST STEPHENS MAR THOMA CHURCH,Carmelaram
CHENNAI - BANGALORE DIOCESE,,BANGALORE WEST TRINITY (RAJAJI NAGAR) MAR THOMA CHURCH,Kamala Nagar
CHENNAI - BANGALORE DIOCESE,,BEERASANDRA MAR THOMA CHURCH,Alur Duddanahally P.O Devanahally
CHENNAI - BANGALORE DIOCESE,,BETAPUR ST PETERS MAR THOMA CHURCH,Betapur
CHENNAI - BANGALORE DIOCESE,,BIJUWARA ST THOMAS MAR THOMA CHURCH,Kelainathotta Chikkaballapur
CHENNAI - BANGALORE DIOCESE,,"CHAKERIYELI JERUSALEM MAR THOMA CHURCH, SANGAREDDY",
CHENNAI - BANGALORE DIOCESE,,CHINTHAMANI ST THOMAS MAR THOMA CHURCH,Chintamani
CHENNAI - BANGALORE DIOCESE,,COIMBATORE MAR THOMA SYRIAN CHURCH,Coimbatore
CHENNAI - BANGALORE DIOCESE,,DANDELI ST THOMAS MAR THOMA CHURCH,Dandeli
CHENNAI - BANGALORE DIOCESE,,DAVANAGERI MAR THOMA CHURCH,Davangere
CHENNAI - BANGALORE DIOCESE,,DEVANAHALLY IMMANUEL MAR THOMA CHURCH,Devanahally
CHENNAI - BANGALORE DIOCESE,,DIBBURAHALLI BETHLEHEM MAR THOMA CHURCH,Chikkabellapur
CHENNAI - BANGALORE DIOCESE,,GAJULLAPPALLE CHRISTOSE MAR THOMA CHURCH,
CHENNAI - BANGALORE DIOCESE,,GONGLUR MAR THOMA CHAPEL,
CHENNAI - BANGALORE DIOCESE,,GUNDUMPADU  IMMANUEL MAR THOMA CHURCH,
CHENNAI - BANGALORE DIOCESE,,HANGAL ST THOMAS MAR THOMA CHURCH,Hangal
CHENNAI - BANGALORE DIOCESE,,HEBBAL JERUSALEM MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,,HONAVAR ST THOMAS MAR THOMA CHURCH,Uttar Kannada
CHENNAI - BANGALORE DIOCESE,,HOSKOTE  MAR THOMA CHURCH,Hoskote-(P.O.) Bengaluru (Rural
CHENNAI - BANGALORE DIOCESE,,HUBLI MAR THOMA CHURCH,Dharwad
CHENNAI - BANGALORE DIOCESE,,HYDERABAD ASCENSION MAR THOMA CHURCH,Chikkadapally
CHENNAI - BANGALORE DIOCESE,,HYDERABAD ST THOMAS R C PURAM MAR THOMA CHURCH,Hyderabad
CHENNAI - BANGALORE DIOCESE,,ICHILAMPADI IMMANUEL MAR THOMA CHURCH,Ichilampady
CHENNAI - BANGALORE DIOCESE,,JALAHALLI EBENEZER MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,,JANGAMAKOTE BETHEL MAR THOMA CHURCH,Jangamakote
CHENNAI - BANGALORE DIOCESE,,KANAKUZHI MAR THOMA CHAPEL,
CHENNAI - BANGALORE DIOCESE,,KARGOLI SALEM MAR THOMA CHURCH,Kusoor
CHENNAI - BANGALORE DIOCESE,,KARWAR ST. THOMAS MAR THOMA CHURCH,Uttara Kannada
CHENNAI - BANGALORE DIOCESE,,KENGERI CHRISTOS MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,,KHANAPURAM MAR THOMA CHURCH,Palakonda
CHENNAI - BANGALORE DIOCESE,,KOLAR CHRISTA JYOTHI MAR THOMA CHURCH,Naraspura
CHENNAI - BANGALORE DIOCESE,,KOPPA JERUSALEM MAR THOMA CHURCH,Indoore
CHENNAI - BANGALORE DIOCESE,,KOTHANNUR EMMANUEL MAR THOMA CHURCH,Kothanur
CHENNAI - BANGALORE DIOCESE,,KRISHNARAJAPURAM BETHEL MAR THOMA CHURCH,Dooravani Nagar
CHENNAI - BANGALORE DIOCESE,,KUMTA ST THOMAS MAR THOMA CHURCH,Kumta
CHENNAI - BANGALORE DIOCESE,,KUWAIT ST. JAMES MAR THOMA CHURCH,
CHENNAI - BANGALORE DIOCESE,,MADRAS MAR THOMA SYRIAN CHURCH (CHETPET),Harrington Road Chetpet
CHENNAI - BANGALORE DIOCESE,,MADRAS ST THOMAS MOUNT. ST. THOMAS MAR THOMA CHURCH,Pazhavanthngal
CHENNAI - BANGALORE DIOCESE,,MAHADEVAPURAM JERUSALEM MAR THOMA CHURCH,Yerraguntla
CHENNAI - BANGALORE DIOCESE,,MANGALORE MAR THOMA CHURCH,Mangalore
CHENNAI - BANGALORE DIOCESE,,MANIPAL BETHEL MAR THOMA CHURCH,Manipal
CHENNAI - BANGALORE DIOCESE,,MARTHAHALLY ST THOMAS MAR THOMA CHURCH,Marathahalli Colony
CHENNAI - BANGALORE DIOCESE,,MITTAPPALLE ST PETERS MAR THOMA CHURCH,Narasapuram
CHENNAI - BANGALORE DIOCESE,,MUKUNDAPURAM ST MATHEWS MAR THOMA CHURCH,Muthalur
CHENNAI - BANGALORE DIOCESE,,MUNDUGOD ST THOMAS MAR THOMA CHURCH,Mundgod
CHENNAI - BANGALORE DIOCESE,,MUSTHUR ST JOHNS MAR THOMA CHURCH,Chikballpur
CHENNAI - BANGALORE DIOCESE,,MYSORE MAR THOMA SYRIAN CHURCH,Mysore
CHENNAI - BANGALORE DIOCESE,,NALLAGADLA ST JOHNS MAR THOMA CHURCH,Kurnool
CHENNAI - BANGALORE DIOCESE,,NARASAPURAM ST THOMAS MAR THOMA CHURCH,Muthalur
CHENNAI - BANGALORE DIOCESE,,NARASINKAPURAM MAR THOMA CHURCH,
CHENNAI - BANGALORE DIOCESE,,NEREDMET BETHEL MAR THOMA CHURCH,Secunderabad
CHENNAI - BANGALORE DIOCESE,,NEYVELI JERUSALEM MAR THOMA CHURCH,Neiveli
