# Mar Thoma parishes, WITH THE COUNTRY USED AS THE ZONE.
#
# The same rows as marthoma-parishes.csv, with one difference: the zone is the
# country the parish is in. Unlike the placeholder zones this file replaced,
# these are not invented — every diocese here really does span more than one
# country (17 in all), because the Gulf congregations are attached to Kerala
# dioceses rather than to a diocese of their own.
#
# Whether that is a useful tier is your call. It groups the 152 parishes
# outside India usefully and leaves a single large "India" zone in most
# dioceses, which may be more clutter than help. Import this one OR
# marthoma-parishes.csv, not both.
# Source: the Mar Thoma parish list published at marthoma.in, as collected in
#   https://docs.google.com/spreadsheets/d/1QVPcgFuO638L673NJ5fqtwqwq_obO4lF/edit
# Converted 2026-08-29. 1114 parishes in 14 dioceses.
#
diocese,zone,church,city
ADOOR DIOCESE,India,KOLLAKA ST THOMAS MAR THOMA CHURCH,Kollaka
ADOOR DIOCESE,India,KOODAL BETHEL MAR THOMA CHURCH,Koodal (Pta
ADOOR DIOCESE,India,KOTTAMPALLY BETHEL MAR THOMA CHURCH,Ochira
ADOOR DIOCESE,India,KOTTANALLOOR SALEM MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,India,KOTTARA ST PAULS MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,India,KOZHICODE ST THOMAS MAR THOMA CHURCH,S V Market
ADOOR DIOCESE,India,KULAKKADA ST THOMAS MAR THOMA CHURCH,Kulakkada East
ADOOR DIOCESE,India,KUNNATHOOR SALEM MAR THOMA CHURCH,Kunnathoor
ADOOR DIOCESE,India,KUNNIDA ST THOMAS MAR THOMA CHURCH,Chelikuzhy
ADOOR DIOCESE,India,KURATHICADU JERUSALEM MAR THOMA CHURCH,Thekkekara
ADOOR DIOCESE,India,KURATHICADU ST THOMAS MAR THOMA CHURCH,Thekkekara
ADOOR DIOCESE,India,MANNADI MAR THOMA CHURCH,Mannady
ADOOR DIOCESE,India,MANNADY ST THOMAS MAR THOMA CHURCH,Mannady
ADOOR DIOCESE,India,MANNAROADE BETHLEHEM MAR THOMA CHURCH,Kadampanad North
ADOOR DIOCESE,India,MOONNALAM ST THOMAS MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,India,NILACKAL JERUSALEM MAR THOMA CHURCH,Thuvayoor South
ADOOR DIOCESE,India,NJAKANAL SALEM MAR THOMA CHURCH,Njakkanal
ADOOR DIOCESE,India,NOORANAD SALEM MAR THOMA CHURCH,Nooranad
ADOOR DIOCESE,India,PALLICKEL ST THOMAS MAR THOMA CHURCH,Pallickal
ADOOR DIOCESE,India,PANAYIL HEBRON MAR THOMA CHURCH,Panayil
ADOOR DIOCESE,India,PANDALAM MAR THOMA CHURCH,Mudiyoorkonam
ADOOR DIOCESE,India,PARAKODE IMMANUEL MAR THOMA CHURCH,Parakode
ADOOR DIOCESE,India,PATHANAPURAM IMMANUEL MAR THOMA CHURCH,Pathanapuram
ADOOR DIOCESE,India,PATHARAM ST THOMAS MAR THOMA CHURCH,Patharam
ADOOR DIOCESE,India,PATTAZHY MOTTACKAL MORIA MAR THOMA CHURCH,Pathanamthitta
ADOOR DIOCESE,India,PATTOOR IMMANUEL MAR THOMA CHURCH,Pattoor
ADOOR DIOCESE,India,PIDAVOOR BETHEL MAR THOMA CHURCH,Pidavoor
ADOOR DIOCESE,India,PIDAVOOR EBENEZER MAR THOMA CHURCH,Avaneeswaram
ADOOR DIOCESE,India,PIRAVANTHOOR ST THOMAS MAR THOMA CHURCH,Vettithitta
ADOOR DIOCESE,India,POONKULANJI ST PAULS MAR THOMA CHURCH,Poonkulanji
ADOOR DIOCESE,India,PORUVAZHY  BETHEL MAR THOMA CHURCH,Sooranad
ADOOR DIOCESE,India,PUTHUSSERYBHAGOM BETHEL  MAR THOMA CHURCH,Vayala
ADOOR DIOCESE,India,PUTHUVAL ST THOMAS MAR THOMA CHURCH,Pathanapuram
ADOOR DIOCESE,India,RAJAGIRI MAR THOMA CHURCH,Rajagiri
ADOOR DIOCESE,United Arab Emirates,RAS AL KHAIMA ST THOMAS MAR THOMA CHURCH,Ras Al Khaima
ADOOR DIOCESE,India,SOORANADU IMMANUEL MAR THOMA CHURCH,Sooranad
ADOOR DIOCESE,India,THAMARAKULAM ST THOMAS MAR THOMA CHURCH,Vedaraplavu
ADOOR DIOCESE,India,THANNIKUNNU SEHION MAR THOMA CHURCH,Chunakara
ADOOR DIOCESE,India,THARAYILKADAVU SALEM MAR THOMA CHURCH,Kollaka
ADOOR DIOCESE,India,THAZHAVA MAR THOMA CHURCH,Thazhava
ADOOR DIOCESE,India,THEPPUPARA ST THOMAS MAR THOMA CHURCH,Theppupara
ADOOR DIOCESE,India,THEVALAKARA HEBRON MAR THOMA CHURCH,Padinjattakara
ADOOR DIOCESE,India,THEVALAKARA IMMANUEL MAR THOMA CHURCH,Arinallur
ADOOR DIOCESE,India,THEVALAKARA MAR THOMA VALIYAPALLY,Thevalakara
ADOOR DIOCESE,India,THUMPAMON JERUSALEM MAR THOMA CHURCH,Keerukuzhy
ADOOR DIOCESE,India,THUMPAMON MUTTOM SALEM MAR THOMA CHURCH,Muttom
ADOOR DIOCESE,India,THURUTHIKARA IMMANUEL MAR THOMA CHURCH,Thuruthikara
ADOOR DIOCESE,India,THURUTHIKARA JERUSALEM MAR THOMA CHURCH,Kunnathur East
ADOOR DIOCESE,India,THUVAYOOR EBENEZER MAR THOMA CHURCH,Kadambanad
ADOOR DIOCESE,India,THUVAYOOR ST ANDREWS MAR THOMA CHURCH,Thuvayoor South
ADOOR DIOCESE,India,THUVAYOOR ST PETERS MAR THOMA CHURCH,Thuvayoor South
ADOOR DIOCESE,India,VATHIKULAM BETHEL MAR THOMA CHURCH,Thekkekara
ADOOR DIOCESE,India,VATHIKULAM ST PAULS MAR THOMA CHURCH,Olakettiambalam
ADOOR DIOCESE,India,VAYALA SALEM MAR THOMA CHURCH,Valaya
ADOOR DIOCESE,India,VETTIYAR SALEM MAR THOMA CHURCH,Mankamkuzhy
ADOOR DIOCESE,India,VETTIYAR ST THOMAS MAR THOMA CHURCH,Mankamkuzhy
ADOOR DIOCESE,India,WEST KALLADA IMMANUEL MAR THOMA CHURCH,Peruvelikara
ADOOR DIOCESE,India,WEST KALLADA MAR THOMA CHURCH,Peruvelikara
CHENGANNUR - MAVELIKKARA DIOCESE,India,AKAMKUDY BETHEL MAR THOMA CHURCH,Akamkudy
CHENGANNUR - MAVELIKKARA DIOCESE,India,ARANMULA ST THOMAS MAR THOMA CHURCH,Aranmula
CHENGANNUR - MAVELIKKARA DIOCESE,India,ARATTUPUZHA BETHLEHEM MAR THOMA CHURCH,Arattupuzha (Pta
CHENGANNUR - MAVELIKKARA DIOCESE,India,AYATHIL JERUSALEM MAR THOMA CHURCH,Muttathukonam
CHENGANNUR - MAVELIKKARA DIOCESE,India,BUDHANOOR ST PAULS MAR THOMA CHURCH,Budhanoor
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHANGAMALA ST PETERS MAR THOMA CHURCH,Venmoney
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHEEKKANAL ST THOMAS MAR THOMA CHURCH,Omalloor
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHENGANNUR MAR THOMA VALIYAPALLY,Mundancavu
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHENNEERKARA EBENEZER MAR THOMA CHURCH,Chenneerkara
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHENNITHALA SOUTH SALEM MAR THOMA CHURCH,Mavelikkara
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHENNITHALA ST PETERS MAR THOMA CHURCH,Chennithala
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHEPPAD MAR THOMA CHURCH,Cheppad
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHERIYANAD IMMANUEL MAR THOMA CHURCH,Cheriyanad
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHERUKOLE MAR THOMA CHURCH,Cherukole
CHENGANNUR - MAVELIKKARA DIOCESE,India,CHERUVALLUR ST GEORGE SALEM MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,India,EDANAD SALEM MAR THOMA CHURCH,Edanad
CHENGANNUR - MAVELIKKARA DIOCESE,India,EDAYARANMULA LAKA ST THOM MAR THOMA CHURCH,Edayarnmula
CHENGANNUR - MAVELIKKARA DIOCESE,India,ELANTHUR MAR THOMA VALIYAPALLY,Elanthoor Elanthur
CHENGANNUR - MAVELIKKARA DIOCESE,India,ELANTHUR PARIYARAM MAR THOMA PAZHAYAPALLY,Elanthoor Pariyaram Elanthoor
CHENGANNUR - MAVELIKKARA DIOCESE,India,ELANTHUR ST THOMAS MAR THOMA CHURCH,Elanthoor P.O. Kozhenchery Pathanamthitta
CHENGANNUR - MAVELIKKARA DIOCESE,India,ELAVUMTHITTA BETHLEHEM MAR THOMA CHURCH,Elavumthitta
CHENGANNUR - MAVELIKKARA DIOCESE,India,ERAMATHOOR BETHEL MAR THOMA CHURCH,Eramathoor Mannar
CHENGANNUR - MAVELIKKARA DIOCESE,Oman,GHALA ST. PAULS MAR THOMA CHURCH,Muscat
CHENGANNUR - MAVELIKKARA DIOCESE,India,GRAMAM BETHEL MAR THOMA CHURCH,Ennakkadu
CHENGANNUR - MAVELIKKARA DIOCESE,India,HARIPAD ST THOMAS MAR THOMA CHURCH,Haripad
CHENGANNUR - MAVELIKKARA DIOCESE,India,KADAIKAD BETHEL MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,India,KAIPUZHA EBENEZER MAR THOMA CHURCH,Panangadu
CHENGANNUR - MAVELIKKARA DIOCESE,India,KAIPUZHA ST JOHNS MAR THOMA CHURCH,Kulanada
CHENGANNUR - MAVELIKKARA DIOCESE,India,KALLIMEL ST THOMAS MAR THOMA CHURCH,Kallimel
CHENGANNUR - MAVELIKKARA DIOCESE,India,KANNAMANGALAM ST ANDREWS MAR THOMA CHURCH,Chettikulangara
CHENGANNUR - MAVELIKKARA DIOCESE,India,KANNAMANGALAM ST PAULS MAR THOMA CHURCH,Chettikulangara
CHENGANNUR - MAVELIKKARA DIOCESE,India,KARACKAD REVIVAL CENTENARY MAR THOMA CHURCH,Karakkad
CHENGANNUR - MAVELIKKARA DIOCESE,India,KARAMVELI JERUSALEM MAR THOMA CHURCH,Nellikkala
CHENGANNUR - MAVELIKKARA DIOCESE,India,KARIPUZHA SALEM MAR THOMA CHURCH,Karipuzha
CHENGANNUR - MAVELIKKARA DIOCESE,India,KARTHIKAPALLY MAR THOMA CHURCH,Karthkappally
CHENGANNUR - MAVELIKKARA DIOCESE,India,KARUVATTA MAR THOMA CHURCH,Karuvatta
CHENGANNUR - MAVELIKKARA DIOCESE,India,KARUVATTA SALEM MAR THOMA CHURCH,Karuvatta
CHENGANNUR - MAVELIKKARA DIOCESE,India,KIDANGANNOOR ST THOM MAR THOMA CHURCH,Kidangannur
CHENGANNUR - MAVELIKKARA DIOCESE,India,KIZHAKKEN OTHARA ST THOMAS MAR THOMA CHURCH,Pathanamthitta
CHENGANNUR - MAVELIKKARA DIOCESE,India,KOTTA MORIA MAR THOMA CHURCH,Kotta
CHENGANNUR - MAVELIKKARA DIOCESE,India,KURICHIMUTTOM ST JOHNS MAR THOMA CHURCH,Kuruchimuttom
CHENGANNUR - MAVELIKKARA DIOCESE,India,KUZHIKALA MAR THOMA CHURCH,Kuzhikala
CHENGANNUR - MAVELIKKARA DIOCESE,India,MANGALAM ST THOMAS MAR THOMA CHURCH,Vazharmangalam
CHENGANNUR - MAVELIKKARA DIOCESE,Oman,MAR THOMA CHURCH IN OMAN,Muscat
CHENGANNUR - MAVELIKKARA DIOCESE,India,MAVELIKKARA MAR THOMA CHURCH,Thazhakara
CHENGANNUR - MAVELIKKARA DIOCESE,India,MEZHUVELI SALEM MAR THOMA CHURCH,Karithotta
CHENGANNUR - MAVELIKKARA DIOCESE,India,MULAKUZHA ST THOMAS MAR THOMA CHURCH,Mulakhuzha
CHENGANNUR - MAVELIKKARA DIOCESE,India,MUTHUKULAM ST THOMAS MAR THOMA CHURCH,Muthukulam Muthukulam South
CHENGANNUR - MAVELIKKARA DIOCESE,India,MUTTOM MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,India,NAKKADA ST THOMAS MAR THOMA CHURCH,Pandanad North
CHENGANNUR - MAVELIKKARA DIOCESE,India,NELLIKALA MAR THOMA CHURCH,Naranganam West
CHENGANNUR - MAVELIKKARA DIOCESE,India,NIKARUPURAM HERMON MAR THOMA CHURCH,Piralassery
CHENGANNUR - MAVELIKKARA DIOCESE,India,OTHARA EBENEZER MAR THOMA CHURCH,Othera East
CHENGANNUR - MAVELIKKARA DIOCESE,India,OTHARA ST ANDREWS MAR THOMA CHURCH,Othara West
CHENGANNUR - MAVELIKKARA DIOCESE,India,OTHARA ST PAULS MAR THOMA CHURCH,Othera West
CHENGANNUR - MAVELIKKARA DIOCESE,India,PALLIKKALA ST THOMAS MAR THOMA CHURCH,Thumpamon (N
CHENGANNUR - MAVELIKKARA DIOCESE,India,PALLIPADU MAR THOMA CHERIYAPALLY,Pallippad
CHENGANNUR - MAVELIKKARA DIOCESE,India,PALLIPADU ST THOMAS MAR THOMA CHURCH,Pallipad
CHENGANNUR - MAVELIKKARA DIOCESE,India,PANDANAD IMMANUEL MAR THOMA CHURCH,Pandanad West
CHENGANNUR - MAVELIKKARA DIOCESE,India,PANDANAD MAR THOMA VALIYAPALLY,Pandanad North
CHENGANNUR - MAVELIKKARA DIOCESE,India,PANDANAD MATHIAS MAR THOMA CHURCH,
CHENGANNUR - MAVELIKKARA DIOCESE,India,PANDANAD ST THOMAS MAR THOMA CHURCH,Pandanadu West
CHENGANNUR - MAVELIKKARA DIOCESE,India,PARIMANAM MAR THOMA CHURCH,Muttam
CHENGANNUR - MAVELIKKARA DIOCESE,India,PAYIPPADU IMMANUEL MAR THOMA CHURCH,Paipadu
CHENGANNUR - MAVELIKKARA DIOCESE,India,PENNUKKARA IMMANUEL MAR THOMA CHURCH,Poomala
CHENGANNUR - MAVELIKKARA DIOCESE,India,PENNUKKARA ST THOMAS MAR THOMA CHURCH,Pennukkara
CHENGANNUR - MAVELIKKARA DIOCESE,India,PERINGELIPURAM MAR THOMA CHURCH,Peringelipuram
CHENGANNUR - MAVELIKKARA DIOCESE,India,PERISSERY ST PETERS MAR THOMA CHURCH,Mundancavu
CHENGANNUR - MAVELIKKARA DIOCESE,India,PRAYAR JERUSALEM MAR THOMA CHURCH,Pandanadu (N
CHENGANNUR - MAVELIKKARA DIOCESE,India,PRAYAR SEHION MAR THOMA CHURCH,Kallisseri
CHENGANNUR - MAVELIKKARA DIOCESE,India,PULIYOOR ST THOMAS MAR THOMA CHURCH,Puliyoor
CHENGANNUR - MAVELIKKARA DIOCESE,India,PULLAMALA THABORE MAR THOMA CHURCH,Muttathukonam
CHENGANNUR - MAVELIKKARA DIOCESE,India,PUNNACKAD EMMANUEL MAR THOMA CHURCH,Punnakkad
CHENGANNUR - MAVELIKKARA DIOCESE,India,PUNNAMOODU EBENEZER MAR THOMA CHURCH,Mavelikara
CHENGANNUR - MAVELIKKARA DIOCESE,India,PUNTHALA MAR THOMA CHURCH,Punthala
CHENGANNUR - MAVELIKKARA DIOCESE,India,PUTHENCAVU MATHILAKAM AROHANAM MAR THOMA CHURCH,Puthencavu
CHENGANNUR - MAVELIKKARA DIOCESE,India,RAMAPURAM IMMANUEL MAR THOMA CHURCH,Keerikad
CHENGANNUR - MAVELIKKARA DIOCESE,Oman,SALALAH MAR THOMA CHURCH,Pob
CHENGANNUR - MAVELIKKARA DIOCESE,Oman,SOHAR ST THOMAS MAR THOMA CHURCH,
CHENGANNUR - MAVELIKKARA DIOCESE,India,THAIMARAVUMKARA SALEM MAR THOMA CHURCH,West Othera
CHENGANNUR - MAVELIKKARA DIOCESE,India,THITTAMEL TRINITY MAR THOMA CHURCH,Alappuzha
CHENGANNUR - MAVELIKKARA DIOCESE,India,THUMPAMON BETHEL MAR THOMA CHURCH,Chennerkara
CHENGANNUR - MAVELIKKARA DIOCESE,India,THUMPAMON CHRIST MAR THOMA CHURCH,Thumpamon North
CHENGANNUR - MAVELIKKARA DIOCESE,India,THUMPAMON IMMANUEL MAR THOMA CHURCH,Thumpamon (N) P O.
CHENGANNUR - MAVELIKKARA DIOCESE,India,THUMPAMON SEHION MAR THOMA CHURCH,Elavumthitta
CHENGANNUR - MAVELIKKARA DIOCESE,India,ULANAD BETHEL MAR THOMA CHURCH,Ulanadu
CHENGANNUR - MAVELIKKARA DIOCESE,India,UMAYATTUKARA MAR THOMA CHURCH,Kallisseri
CHENGANNUR - MAVELIKKARA DIOCESE,India,VALIYAVATTOM ST PAULS MAR THOMA CHURCH,Elanthur
CHENGANNUR - MAVELIKKARA DIOCESE,India,VARAMPOOR VENMONEY ST THOMAS MAR THOMA CHURCH,Varampur
CHENGANNUR - MAVELIKKARA DIOCESE,India,VELLAPPARA ST STEPHENS MAR THOMA CHURCH,Nellikala
CHENGANNUR - MAVELIKKARA DIOCESE,India,VENMONEY BETHANY MAR THOMA CHURCH,Venmoney
CHENGANNUR - MAVELIKKARA DIOCESE,India,VENMONEY SALEM MAR THOMA CHURCH,Venmony Kozhuvalloor
CHENGANNUR - MAVELIKKARA DIOCESE,India,VENMONEY SEHION MAR THOMA CHURCH,Venmoney
CHENNAI - BANGALORE DIOCESE,India,ADAYAR ST PAULS MAR THOMA CHURCH,Velacheri
CHENNAI - BANGALORE DIOCESE,India,AMBLIKAI ST LUKES MAR THOMA CHURCH,Dindigul
CHENNAI - BANGALORE DIOCESE,India,ANKOLA ST PAULS MAR THOMA CHURCH,Ankola
CHENNAI - BANGALORE DIOCESE,India,ANNA NAGAR JERUSALEM MAR THOMA CHURCH,Annanagar
CHENNAI - BANGALORE DIOCESE,India,ARISANAMKERI IMMANUEL MAR THOMA CHURCH,Indoor
CHENNAI - BANGALORE DIOCESE,India,AVADI ST ANDREWS MAR THOMA CHURCH,Chennai
CHENNAI - BANGALORE DIOCESE,India,BACHIPPALLI ST LUKE MAR THOMA CHURCH,Palakonda
CHENNAI - BANGALORE DIOCESE,India,BAINAPALLY  MYDUKUR ST MATHEWS MAR THOMA CHURCH,Chintakunta
CHENNAI - BANGALORE DIOCESE,India,BANGALORE CITY [PRIMROSE RD] MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,India,BANGALORE EAST MAR THOMA CHURCH,Maruthi Sevanagar
CHENNAI - BANGALORE DIOCESE,India,BANGALORE ST STEPHENS MAR THOMA CHURCH,Carmelaram
CHENNAI - BANGALORE DIOCESE,India,BANGALORE WEST TRINITY (RAJAJI NAGAR) MAR THOMA CHURCH,Kamala Nagar
CHENNAI - BANGALORE DIOCESE,India,BEERASANDRA MAR THOMA CHURCH,Alur Duddanahally P.O Devanahally
CHENNAI - BANGALORE DIOCESE,India,BETAPUR ST PETERS MAR THOMA CHURCH,Betapur
CHENNAI - BANGALORE DIOCESE,India,BIJUWARA ST THOMAS MAR THOMA CHURCH,Kelainathotta Chikkaballapur
CHENNAI - BANGALORE DIOCESE,India,"CHAKERIYELI JERUSALEM MAR THOMA CHURCH, SANGAREDDY",
CHENNAI - BANGALORE DIOCESE,India,CHINTHAMANI ST THOMAS MAR THOMA CHURCH,Chintamani
CHENNAI - BANGALORE DIOCESE,India,COIMBATORE MAR THOMA SYRIAN CHURCH,Coimbatore
CHENNAI - BANGALORE DIOCESE,India,DANDELI ST THOMAS MAR THOMA CHURCH,Dandeli
CHENNAI - BANGALORE DIOCESE,India,DAVANAGERI MAR THOMA CHURCH,Davangere
CHENNAI - BANGALORE DIOCESE,India,DEVANAHALLY IMMANUEL MAR THOMA CHURCH,Devanahally
CHENNAI - BANGALORE DIOCESE,India,DIBBURAHALLI BETHLEHEM MAR THOMA CHURCH,Chikkabellapur
CHENNAI - BANGALORE DIOCESE,India,GAJULLAPPALLE CHRISTOSE MAR THOMA CHURCH,
CHENNAI - BANGALORE DIOCESE,India,GONGLUR MAR THOMA CHAPEL,
CHENNAI - BANGALORE DIOCESE,India,GUNDUMPADU  IMMANUEL MAR THOMA CHURCH,
CHENNAI - BANGALORE DIOCESE,India,HANGAL ST THOMAS MAR THOMA CHURCH,Hangal
CHENNAI - BANGALORE DIOCESE,India,HEBBAL JERUSALEM MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,India,HONAVAR ST THOMAS MAR THOMA CHURCH,Uttar Kannada
CHENNAI - BANGALORE DIOCESE,India,HOSKOTE  MAR THOMA CHURCH,Hoskote-(P.O.) Bengaluru (Rural
CHENNAI - BANGALORE DIOCESE,India,HUBLI MAR THOMA CHURCH,Dharwad
CHENNAI - BANGALORE DIOCESE,India,HYDERABAD ASCENSION MAR THOMA CHURCH,Chikkadapally
CHENNAI - BANGALORE DIOCESE,India,HYDERABAD ST THOMAS R C PURAM MAR THOMA CHURCH,Hyderabad
CHENNAI - BANGALORE DIOCESE,India,ICHILAMPADI IMMANUEL MAR THOMA CHURCH,Ichilampady
CHENNAI - BANGALORE DIOCESE,India,JALAHALLI EBENEZER MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,India,JANGAMAKOTE BETHEL MAR THOMA CHURCH,Jangamakote
CHENNAI - BANGALORE DIOCESE,India,KANAKUZHI MAR THOMA CHAPEL,
CHENNAI - BANGALORE DIOCESE,India,KARGOLI SALEM MAR THOMA CHURCH,Kusoor
CHENNAI - BANGALORE DIOCESE,India,KARWAR ST. THOMAS MAR THOMA CHURCH,Uttara Kannada
CHENNAI - BANGALORE DIOCESE,India,KENGERI CHRISTOS MAR THOMA CHURCH,Bangalore
CHENNAI - BANGALORE DIOCESE,India,KHANAPURAM MAR THOMA CHURCH,Palakonda
CHENNAI - BANGALORE DIOCESE,India,KOLAR CHRISTA JYOTHI MAR THOMA CHURCH,Naraspura
CHENNAI - BANGALORE DIOCESE,India,KOPPA JERUSALEM MAR THOMA CHURCH,Indoore
CHENNAI - BANGALORE DIOCESE,India,KOTHANNUR EMMANUEL MAR THOMA CHURCH,Kothanur
CHENNAI - BANGALORE DIOCESE,India,KRISHNARAJAPURAM BETHEL MAR THOMA CHURCH,Dooravani Nagar
CHENNAI - BANGALORE DIOCESE,India,KUMTA ST THOMAS MAR THOMA CHURCH,Kumta
CHENNAI - BANGALORE DIOCESE,Kuwait,KUWAIT ST. JAMES MAR THOMA CHURCH,
CHENNAI - BANGALORE DIOCESE,India,MADRAS MAR THOMA SYRIAN CHURCH (CHETPET),Harrington Road Chetpet
CHENNAI - BANGALORE DIOCESE,India,MADRAS ST THOMAS MOUNT. ST. THOMAS MAR THOMA CHURCH,Pazhavanthngal
CHENNAI - BANGALORE DIOCESE,India,MAHADEVAPURAM JERUSALEM MAR THOMA CHURCH,Yerraguntla
CHENNAI - BANGALORE DIOCESE,India,MANGALORE MAR THOMA CHURCH,Mangalore
CHENNAI - BANGALORE DIOCESE,India,MANIPAL BETHEL MAR THOMA CHURCH,Manipal
CHENNAI - BANGALORE DIOCESE,India,MARTHAHALLY ST THOMAS MAR THOMA CHURCH,Marathahalli Colony
CHENNAI - BANGALORE DIOCESE,India,MITTAPPALLE ST PETERS MAR THOMA CHURCH,Narasapuram
CHENNAI - BANGALORE DIOCESE,India,MUKUNDAPURAM ST MATHEWS MAR THOMA CHURCH,Muthalur
CHENNAI - BANGALORE DIOCESE,India,MUNDUGOD ST THOMAS MAR THOMA CHURCH,Mundgod
CHENNAI - BANGALORE DIOCESE,India,MUSTHUR ST JOHNS MAR THOMA CHURCH,Chikballpur
CHENNAI - BANGALORE DIOCESE,India,MYSORE MAR THOMA SYRIAN CHURCH,Mysore
